Id_Esp,Esp_Adress,Esp_Email,Esp_Name,Esp_Capacity,Esp_Phone,Esp_Alquiler
1,"Alcorta 622",Quimica@flow.com,Quimica,5000,299256354,200000
2,"niceto 922",niceto@terra.com,niceto,2500,116538555,250000
3,"Corrientes 52",Emergente@ortuzar.co,Emergente,1600,119562541,130000
4,"Corrientes 5890",Leveriun@gmail.com,Leverium,9500,1152636258,200000
5,"Gorriti 1255",luxor@gmail.com,Luxor,5000,1152636258,15000
6,"Av Garay 2500",turben@yahoo.com,Turbina,600,1152636258,75000
7,"pringles 250",Uron@gmail.com,Uron,1000,1152636258,90000
8,"Rivera indarte 1520",pibes@hotmail.com,Paves,6000,1152636258,12000
9,"Mendoza 590",Hattori@gmail.com,Hattori,3000,1152636258,100000
10,"gallardo 145",delviento@hotmail.com,"Teatro del Viento",700,2995526325,150000
